id,summary,start,end,location,description,attendees
20231111_ggl7e6suo3dvnhevlrl46dcifk,St. Martin,2023-11-11,2023-11-12,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20231119_l4gc3sleqr9hvrg0u7mncf5od0,Volkstrauertag,2023-11-19,2023-11-20,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20231122_m0hnmifb9hdodqeqkcgod1vqoc,Buß- und Bettag (Sachsen),2023-11-22,2023-11-23,No location provided,Feiertag in Sachsen,[]
20231126_048itcbfpspglpn1ctgn8s1m60,Totensonntag,2023-11-26,2023-11-27,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20231203_tilpr41g7be7rvt70l4q7isvj0,Erster Advent,2023-12-03,2023-12-04,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20231206_qhucj4hvccie8070km6a56v94k,Nikolaustag,2023-12-06,2023-12-07,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20231210_73oqt8ph1v4e9oab5h74tedrkk,Zweiter Advent,2023-12-10,2023-12-11,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20231217_mpp1skgvkubld87375a1n25qok,Dritter Advent,2023-12-17,2023-12-18,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20231224_c83s4kviqkh3guerfoqdmb893k,Vierter Advent,2023-12-24,2023-12-25,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20231225_t0rl00u26tbi35tr3moi83iht0,Erster Weihnachtstag,2023-12-25,2023-12-26,No location provided,Gesetzlicher Feiertag,[]
20231226_ppk5alopsqau4h6dk8b243g5bk,Zweiter Weihnachtstag,2023-12-26,2023-12-27,No location provided,Gesetzlicher Feiertag,[]
20240101_di2uuh3656jt6ahogto7cj4te4,Neujahrstag,2024-01-01,2024-01-02,No location provided,Gesetzlicher Feiertag,[]
20240106_l21ren9l3ritt1fqa2vkfag368,Heilige Drei Könige (regionaler Feiertag),2024-01-06,2024-01-07,No location provided,"Feiertag in Baden-Württemberg, Bayern, Sachsen-Anhalt",[]
20240212_05hb51q6iiubevr9kob58rpmd4,Rosenmontag,2024-02-12,2024-02-13,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20240213_qfe1537mj36fi1h0ja1i7al8h8,Faschingsdienstag,2024-02-13,2024-02-14,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20240214_e7oog9n16bgg0dlpphs5b7pkvs,Aschermittwoch,2024-02-14,2024-02-15,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20240214_m7nhkst2j0sfgerqhs74savdlk,Valentinstag,2024-02-14,2024-02-15,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20240308_2vrrgiurmup0avcq0ua9d9mqdo,Internationaler Frauentag (regionaler Feiertag),2024-03-08,2024-03-09,No location provided,"Gedenktag in Baden-Württemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thüringen
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20240324_sj9gpmuc1729q1ohhjacpdp98c,Palmsonntag,2024-03-24,2024-03-25,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20240328_2l1dsfb6ddhkb7nkk3oktk7iuc,Gründonnerstag (regionaler Feiertag),2024-03-28,2024-03-29,No location provided,"Gedenktag in Baden-Württemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thüringen
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
