id,summary,start,end,location,description,attendees
Weeknum+738851-gv5r6npd2b4e843q66ma3veakv2fe2m8,Kalenderwoche 48 2023,2023-11-27,2023-11-28,No location provided,No description provided,[]
Weeknum+738858-49kesuof31mhqjmln9gdk4cv9ru9qdbt,Kalenderwoche 49 2023,2023-12-04,2023-12-05,No location provided,No description provided,[]
Weeknum+738865-2nn74gqornjoo7nror2vd9j6qga33r5h,Kalenderwoche 50 2023,2023-12-11,2023-12-12,No location provided,No description provided,[]
Weeknum+738872-bk7gqq5gig616e3e2ot1i0bpp6rr54gv,Kalenderwoche 51 2023,2023-12-18,2023-12-19,No location provided,No description provided,[]
Weeknum+738879-easdgiglohu1br9es0rome09sia5af9p,Kalenderwoche 52 2023,2023-12-25,2023-12-26,No location provided,No description provided,[]
Weeknum+738886-dbp3cf5fu3vrlhutaf5v4oer584n38k0,Kalenderwoche 1 2024,2024-01-01,2024-01-02,No location provided,No description provided,[]
Weeknum+738893-6uad2mfvk8ok6ucklgb0592m94gdvv4i,Kalenderwoche 2 2024,2024-01-08,2024-01-09,No location provided,No description provided,[]
Weeknum+738900-l8cabl4au67s0pglrl75ib419smtjr7q,Kalenderwoche 3 2024,2024-01-15,2024-01-16,No location provided,No description provided,[]
Weeknum+738907-lj3rc2du4ssrkr4vv8ehu2vms7for9ov,Kalenderwoche 4 2024,2024-01-22,2024-01-23,No location provided,No description provided,[]
Weeknum+738914-9rof9089up7695cnqlksc3ahq33qmlch,Kalenderwoche 5 2024,2024-01-29,2024-01-30,No location provided,No description provided,[]
Weeknum+738921-8ch28fjuakq54pkeskkq39nonogbc9gd,Kalenderwoche 6 2024,2024-02-05,2024-02-06,No location provided,No description provided,[]
Weeknum+738928-jpegtik4e2k4u8ddfqa0e4d5eue41mnl,Kalenderwoche 7 2024,2024-02-12,2024-02-13,No location provided,No description provided,[]
Weeknum+738935-hsd7fma6s7aq3itfkjcvi7m0kfsshumd,Kalenderwoche 8 2024,2024-02-19,2024-02-20,No location provided,No description provided,[]
Weeknum+738942-ajnl0kddo7n5ifo4b4r44mai56v7a2oo,Kalenderwoche 9 2024,2024-02-26,2024-02-27,No location provided,No description provided,[]
Weeknum+738949-u6liv0hikv8ng2rp7ejd945f7nplsc4a,Kalenderwoche 10 2024,2024-03-04,2024-03-05,No location provided,No description provided,[]
Weeknum+738956-i5hrm18fd6sga43804lng3r70e84m699,Kalenderwoche 11 2024,2024-03-11,2024-03-12,No location provided,No description provided,[]
Weeknum+738963-6c5g944qeb512l4g9r5h232trm0qv47h,Kalenderwoche 12 2024,2024-03-18,2024-03-19,No location provided,No description provided,[]
Weeknum+738970-djvh4p6am5c1glbhrm0or6sokkgduf0t,Kalenderwoche 13 2024,2024-03-25,2024-03-26,No location provided,No description provided,[]
Weeknum+738977-bgtnt86opcguhaoeoforq9uh04nb7ucs,Kalenderwoche 14 2024,2024-04-01,2024-04-02,No location provided,No description provided,[]
Weeknum+738984-fh4ttbbnjf8nter2atrvakd8992o2dbi,Kalenderwoche 15 2024,2024-04-08,2024-04-09,No location provided,No description provided,[]
Weeknum+738991-2683scfhtrg0die515t07kcdogcloala,Kalenderwoche 16 2024,2024-04-15,2024-04-16,No location provided,No description provided,[]
Weeknum+738998-ujr8bhs66fig3hj7pr6tffgj49m0tmeg,Kalenderwoche 17 2024,2024-04-22,2024-04-23,No location provided,No description provided,[]
Weeknum+739005-ssbp3049v52li6cas8mele8ac9n07ghe,Kalenderwoche 18 2024,2024-04-29,2024-04-30,No location provided,No description provided,[]
Weeknum+739012-vilhjk6vmo14esqc4ahl1s3t0umid42h,Kalenderwoche 19 2024,2024-05-06,2024-05-07,No location provided,No description provided,[]
Weeknum+739019-gvkudp074tl7d3ab5lcots6g6q2qpsrc,Kalenderwoche 20 2024,2024-05-13,2024-05-14,No location provided,No description provided,[]
Weeknum+739026-v27dvve30pjih270assd7d41ra4rmq4l,Kalenderwoche 21 2024,2024-05-20,2024-05-21,No location provided,No description provided,[]
Weeknum+739033-vplnqsm3oihu5lg3njp1oab9lrp7sufb,Kalenderwoche 22 2024,2024-05-27,2024-05-28,No location provided,No description provided,[]
Weeknum+739040-1c1qu7sd80depln1meirpbis7ciomhsl,Kalenderwoche 23 2024,2024-06-03,2024-06-04,No location provided,No description provided,[]
Weeknum+739047-irktavtaf61qm4iv7uu6ibfql0vkth8l,Kalenderwoche 24 2024,2024-06-10,2024-06-11,No location provided,No description provided,[]
Weeknum+739054-7atc0hhmc5k8tig02fjr6dc2i3muli65,Kalenderwoche 25 2024,2024-06-17,2024-06-18,No location provided,No description provided,[]
Weeknum+739061-h1d1hr4bc0f7rvj5qmne8sk42fcp0s02,Kalenderwoche 26 2024,2024-06-24,2024-06-25,No location provided,No description provided,[]
Weeknum+739068-jgfceu8d3beiclccq4tfokt0ua64athb,Kalenderwoche 27 2024,2024-07-01,2024-07-02,No location provided,No description provided,[]
Weeknum+739075-nbhtcbe9aon3cvrdfa4r62cq214qfjma,Kalenderwoche 28 2024,2024-07-08,2024-07-09,No location provided,No description provided,[]
Weeknum+739082-dhv4jq8ruo0ars5smhe5v87vk9al3jpd,Kalenderwoche 29 2024,2024-07-15,2024-07-16,No location provided,No description provided,[]
Weeknum+739089-q54mjfalh9ea5hujrpk8slc7l8uu675j,Kalenderwoche 30 2024,2024-07-22,2024-07-23,No location provided,No description provided,[]
Weeknum+739096-1s3rvf4e4o15jl7dr4pu50qsg8asisng,Kalenderwoche 31 2024,2024-07-29,2024-07-30,No location provided,No description provided,[]
Weeknum+739103-er8os6gau3ffl3t4qos52i48u8b03jlh,Kalenderwoche 32 2024,2024-08-05,2024-08-06,No location provided,No description provided,[]
Weeknum+739110-dh2d2ocuahqunkm45pp4m6k4eot44grb,Kalenderwoche 33 2024,2024-08-12,2024-08-13,No location provided,No description provided,[]
Weeknum+739117-1mj9h86o1lcgeg6mtm45ek6ami8d7jhv,Kalenderwoche 34 2024,2024-08-19,2024-08-20,No location provided,No description provided,[]
Weeknum+739124-4b5l1tisohd3j9o0hudeip88hacnu65n,Kalenderwoche 35 2024,2024-08-26,2024-08-27,No location provided,No description provided,[]
Weeknum+739131-riatps9pkmtmm2g64kcq32r6t1efe18d,Kalenderwoche 36 2024,2024-09-02,2024-09-03,No location provided,No description provided,[]
Weeknum+739138-eq9plml2nq0q6g33povv7shar5j35ggg,Kalenderwoche 37 2024,2024-09-09,2024-09-10,No location provided,No description provided,[]
Weeknum+739145-85j3k54fvoic0ra1r9d42u9bb1tadjke,Kalenderwoche 38 2024,2024-09-16,2024-09-17,No location provided,No description provided,[]
Weeknum+739152-qndpca261uuakdku8svadv7hvrgbvbbu,Kalenderwoche 39 2024,2024-09-23,2024-09-24,No location provided,No description provided,[]
Weeknum+739159-sei832cihrd4fq7pmh946hsio1qqadrh,Kalenderwoche 40 2024,2024-09-30,2024-10-01,No location provided,No description provided,[]
Weeknum+739166-47rmlpef397ocvnspb5ih6giiue63ud9,Kalenderwoche 41 2024,2024-10-07,2024-10-08,No location provided,No description provided,[]
Weeknum+739173-0n6htbhf8l83e31kv4k4lpb3d7c0dsp0,Kalenderwoche 42 2024,2024-10-14,2024-10-15,No location provided,No description provided,[]
Weeknum+739180-pnpc0dn2hd05080trpukv1kt11nv5jks,Kalenderwoche 43 2024,2024-10-21,2024-10-22,No location provided,No description provided,[]
Weeknum+739187-ffm5tukasnnomrr9lmlo3039uv5b75s3,Kalenderwoche 44 2024,2024-10-28,2024-10-29,No location provided,No description provided,[]
Weeknum+739194-mgegv3n2sp5e3if7s05hgtgug6q66mjv,Kalenderwoche 45 2024,2024-11-04,2024-11-05,No location provided,No description provided,[]
7mu1v8ponbrv5ga9fd9b8iv7hd,Einkaufen,2023-11-23T12:45:00+01:00,2023-11-23T16:15:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231124T090000Z,Uni,2023-11-24T10:00:00+01:00,2023-11-24T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231125T090000Z,Uni,2023-11-25T10:00:00+01:00,2023-11-25T12:00:00+01:00,No location provided,No description provided,[]
4qa0gl30v2r84drjgf1pusuj46_20231125T090000Z,Uni Projekte erlerdigen,2023-11-25T10:00:00+01:00,2023-11-25T18:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231126T090000Z,Uni,2023-11-26T10:00:00+01:00,2023-11-26T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231127T090000Z,Uni,2023-11-27T10:00:00+01:00,2023-11-27T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231128T090000Z,Uni,2023-11-28T10:00:00+01:00,2023-11-28T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231129T090000Z,Uni,2023-11-29T10:00:00+01:00,2023-11-29T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231130T090000Z,Uni,2023-11-30T10:00:00+01:00,2023-11-30T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231201T090000Z,Uni,2023-12-01T10:00:00+01:00,2023-12-01T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231202T090000Z,Uni,2023-12-02T10:00:00+01:00,2023-12-02T12:00:00+01:00,No location provided,No description provided,[]
4qa0gl30v2r84drjgf1pusuj46_20231202T090000Z,Uni Projekte erlerdigen,2023-12-02T10:00:00+01:00,2023-12-02T18:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231203T090000Z,Uni,2023-12-03T10:00:00+01:00,2023-12-03T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231204T090000Z,Uni,2023-12-04T10:00:00+01:00,2023-12-04T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231205T090000Z,Uni,2023-12-05T10:00:00+01:00,2023-12-05T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231206T090000Z,Uni,2023-12-06T10:00:00+01:00,2023-12-06T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231207T090000Z,Uni,2023-12-07T10:00:00+01:00,2023-12-07T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231208T090000Z,Uni,2023-12-08T10:00:00+01:00,2023-12-08T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231209T090000Z,Uni,2023-12-09T10:00:00+01:00,2023-12-09T12:00:00+01:00,No location provided,No description provided,[]
4qa0gl30v2r84drjgf1pusuj46_20231209T090000Z,Uni Projekte erlerdigen,2023-12-09T10:00:00+01:00,2023-12-09T18:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231210T090000Z,Uni,2023-12-10T10:00:00+01:00,2023-12-10T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231211T090000Z,Uni,2023-12-11T10:00:00+01:00,2023-12-11T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231212T090000Z,Uni,2023-12-12T10:00:00+01:00,2023-12-12T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231213T090000Z,Uni,2023-12-13T10:00:00+01:00,2023-12-13T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231214T090000Z,Uni,2023-12-14T10:00:00+01:00,2023-12-14T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231215T090000Z,Uni,2023-12-15T10:00:00+01:00,2023-12-15T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231216T090000Z,Uni,2023-12-16T10:00:00+01:00,2023-12-16T12:00:00+01:00,No location provided,No description provided,[]
4qa0gl30v2r84drjgf1pusuj46_20231216T090000Z,Uni Projekte erlerdigen,2023-12-16T10:00:00+01:00,2023-12-16T18:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231217T090000Z,Uni,2023-12-17T10:00:00+01:00,2023-12-17T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231218T090000Z,Uni,2023-12-18T10:00:00+01:00,2023-12-18T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231219T090000Z,Uni,2023-12-19T10:00:00+01:00,2023-12-19T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231220T090000Z,Uni,2023-12-20T10:00:00+01:00,2023-12-20T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231221T090000Z,Uni,2023-12-21T10:00:00+01:00,2023-12-21T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231222T090000Z,Uni,2023-12-22T10:00:00+01:00,2023-12-22T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231223T090000Z,Uni,2023-12-23T10:00:00+01:00,2023-12-23T12:00:00+01:00,No location provided,No description provided,[]
4qa0gl30v2r84drjgf1pusuj46_20231223T090000Z,Uni Projekte erlerdigen,2023-12-23T10:00:00+01:00,2023-12-23T18:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231224T090000Z,Uni,2023-12-24T10:00:00+01:00,2023-12-24T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231225T090000Z,Uni,2023-12-25T10:00:00+01:00,2023-12-25T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231226T090000Z,Uni,2023-12-26T10:00:00+01:00,2023-12-26T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231227T090000Z,Uni,2023-12-27T10:00:00+01:00,2023-12-27T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231228T090000Z,Uni,2023-12-28T10:00:00+01:00,2023-12-28T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231229T090000Z,Uni,2023-12-29T10:00:00+01:00,2023-12-29T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231230T090000Z,Uni,2023-12-30T10:00:00+01:00,2023-12-30T12:00:00+01:00,No location provided,No description provided,[]
4qa0gl30v2r84drjgf1pusuj46_20231230T090000Z,Uni Projekte erlerdigen,2023-12-30T10:00:00+01:00,2023-12-30T18:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20231231T090000Z,Uni,2023-12-31T10:00:00+01:00,2023-12-31T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20240101T090000Z,Uni,2024-01-01T10:00:00+01:00,2024-01-01T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20240102T090000Z,Uni,2024-01-02T10:00:00+01:00,2024-01-02T12:00:00+01:00,No location provided,No description provided,[]
06gu827mecei2bescv28i2tun0_20240103T090000Z,Uni,2024-01-03T10:00:00+01:00,2024-01-03T12:00:00+01:00,No location provided,No description provided,[]
